Day,UID,Condition,I am satisfied with my current level of physical activity.,I am a physically active person.,I am committed to my physical activity goal.,How hopeful are you about your physical health today?,How was your mood today?,I am satisfied with my current level of physical activity._num,I am a physically active person._num,I am committed to my physical activity goal._num,How hopeful are you about your physical health today?_num,How was your mood today?_num
25,P26,C,Neither agree nor disagree,Disagree,Agree,Very hopeful,Very pleasant,3.0,2.0,4.0,5.0,5.0
26,P26,C,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,4.0,3.0,5.0,5.0,5.0
27,P26,C,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,4.0,3.0,5.0,5.0,5.0
28,P26,C,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Pleasant,4.0,3.0,5.0,5.0,4.0
0,P49,C,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,1.0,1.0,3.0,3.0,3.0
1,P49,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
2,P49,C,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Very hopeful,Pleasant,3.0,3.0,5.0,5.0,4.0
3,P49,C,Agree,Agree,Strongly agree,Very hopeful,Pleasant,4.0,4.0,5.0,5.0,4.0
4,P49,C,Agree,Agree,Strongly agree,Very hopeful,Very pleasant,4.0,4.0,5.0,5.0,5.0
5,P49,C,Agree,Agree,Strongly agree,Hopeful,Pleasant,4.0,4.0,5.0,4.0,4.0
6,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Pleasant,4.0,4.0,5.0,3.0,4.0
7,P49,C,Strongly agree,Agree,Strongly agree,Very hopeful,Very pleasant,5.0,4.0,5.0,5.0,5.0
8,P49,C,Strongly agree,Agree,Strongly agree,Very hopeful,Pleasant,5.0,4.0,5.0,5.0,4.0
9,P49,C,Strongly agree,Agree,Strongly agree,Very hopeful,Unpleasant,5.0,4.0,5.0,5.0,2.0
10,P49,C,Strongly agree,Agree,Strongly agree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,5.0,3.0,4.0
11,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Unpleasant,4.0,4.0,5.0,3.0,2.0
12,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Pleasant,4.0,4.0,5.0,3.0,4.0
13,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Pleasant,4.0,4.0,5.0,3.0,4.0
14,P49,C,Strongly agree,Agree,Strongly agree,Hopeful,Pleasant,5.0,4.0,5.0,4.0,4.0
15,P49,C,Strongly agree,Agree,Strongly agree,Very hopeful,Very pleasant,5.0,4.0,5.0,5.0,5.0
17,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Very pleasant,4.0,4.0,5.0,3.0,5.0
18,P49,C,Agree,Agree,Strongly agree,Hopeful,Pleasant,4.0,4.0,5.0,4.0,4.0
20,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Pleasant,4.0,4.0,5.0,3.0,4.0
21,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Pleasant,4.0,4.0,5.0,3.0,4.0
