uid,group,day,hk_stepcount,hk_activeenergyburned,hk_appleexercisetime,hk_distancewalkingrunning,hk_workout_count,week
P33,control,-63,4029.0,898.4097972621515,34.0,1.9937395570480736,1,-9
P33,control,-62,3465.0,662.5562027378476,18.0,1.6901558482998351,0,-8
P33,control,-61,10862.0,822.46,1.0,5.113696231579949,0,-8
P33,control,-60,7862.072401020574,855.0629999999995,27.0,3.9290468249618167,0,-8
P33,control,-59,6958.6386725809525,766.6569833561631,3.0,3.282834663499235,0,-8
P33,control,-58,7578.361327419048,814.8880166438356,35.0,3.46425948739616,1,-8
P33,control,-57,6960.069117040206,1090.4000000000024,45.0,3.254538646491924,1,-8
P33,control,-56,7519.0,783.5680000000004,6.0,3.5303592585348844,0,-8
P33,control,-55,8691.381943896573,963.9909999999932,37.0,7.760064131290957,1,-7
P33,control,-54,5278.0,554.1359999999997,7.0,2.463877605347064,0,-7
P33,control,-53,5406.930880984026,672.7649999999995,3.0,2.5068066998492635,0,-7
P33,control,-52,3362.0,493.0380000000002,,1.588084523997826,0,-7
P33,control,-51,3835.2153717052975,540.2970000000003,3.0,1.837995187776273,0,-7
P33,control,-50,5320.0,1058.2239999999988,52.0,2.506898473917245,1,-7
P33,control,-49,6143.0,754.9230000000003,21.0,3.000733738284575,0,-7
P33,control,-48,5122.0,690.2980000000003,21.0,2.3958898736094114,0,-6
P33,control,-47,2179.0,365.453,15.0,1.0138140771799118,1,-6
P33,control,-46,4289.171444680409,582.8890000000001,5.0,2.0501562960188635,0,-6
P33,control,-45,4690.0,933.7519999999946,44.0,2.1981589972080444,1,-6
P33,control,-44,9793.226028339215,934.7380000000004,24.0,4.667980463530802,0,-6
P33,control,-43,4838.0,907.1140000000004,37.0,2.284858239531207,2,-6
P33,control,-42,6405.0,835.216,2.0,3.0082366042317763,0,-6
P33,control,-41,2902.0,345.035,,1.315317002614264,0,-5
P33,control,-40,7044.988981110473,742.3550000000004,13.0,3.321714139014127,0,-5
P33,control,-39,7012.0,1239.7589999999998,59.0,3.305356154052679,1,-5
P33,control,-38,7997.0,980.0319999999996,33.0,3.8898664044550872,0,-5
P33,control,-37,7141.0,766.9020000000005,32.0,3.448845764568245,1,-5
P33,control,-36,5511.0,804.3699999999997,8.0,2.6185494727247542,0,-5
P33,control,-35,10293.77075393204,262.0340000000036,22.0,4.638032283351977,1,-5
P33,control,-34,4930.0,,,2.169027126858216,0,-4
P33,control,-33,4569.0,1144.294,62.0,2.1377648454674576,1,-4
P33,control,-32,5675.0,859.043,18.0,2.688734127192743,0,-4
P33,control,-31,5714.0,880.5480000000003,27.0,2.7340504150811142,0,-4
P33,control,-30,7386.0,867.022,38.0,3.932890486000304,1,-4
P33,control,-29,7802.0,854.975,16.0,3.680631584735292,0,-4
P33,control,-28,7903.0,1051.4394282555231,41.0,3.733451612461232,0,-4
P33,control,-27,4421.0,387.93157174447686,9.0,2.076856808692249,0,-3
P33,control,-26,7469.0,865.7279999999911,35.0,3.494946251291003,1,-3
P33,control,-25,5459.847498252535,739.2260000000003,7.0,2.509036352882564,0,-3
P33,control,-24,5555.03825,858.2579999999999,33.0,2.63181792,1,-3
P33,control,-23,10222.0,1028.598000000001,44.0,4.792963702392366,1,-3
P33,control,-22,8627.0,987.2379999999988,43.0,4.118243701085651,1,-3
P33,control,-21,8500.285445043219,897.0949999999999,21.0,3.978353613,0,-3
P33,control,-20,7709.436984556673,1288.0240000000024,51.0,3.645484900631367,1,-2
P33,control,-19,5202.0,1162.5009999999957,56.0,2.4389363806403592,2,-2
P33,control,-18,4830.439262868197,611.5550000000004,4.0,2.202994124530608,0,-2
P33,control,-17,5974.0,1041.6559999999936,213.0,2.812872468561378,1,-2
P33,control,-16,8466.391378224847,907.5999999999966,1260.0,4.073269971291809,1,-2
P33,control,-15,6670.906197,1358.7519999999995,361.0,3.131220402195647,3,-2
P33,control,-14,25209.90329204044,2119.4948325837804,119.0,11.776825364166118,1,-2
P33,control,-13,9384.096708,836.6881674161799,25.0,4.642355949292722,1,-1
P33,control,-12,7383.0,873.6700000000003,15.0,3.459453343555208,0,-1
P33,control,-11,5953.0,759.3980000000001,10.0,2.761177440390273,0,-1
P33,control,-10,12456.0,1133.039999999998,59.0,6.115043752867171,1,-1
P33,control,-9,10338.0,1000.7989999999992,59.0,5.070612769716068,2,-1
P33,control,-8,13913.0,1333.939999999997,83.0,6.859176165222039,2,-1
P33,control,-7,20233.0,1577.076586132897,61.0,9.759039612541972,0,-1
P33,control,-6,10975.0,1303.157413867104,65.0,5.1460000416095975,1,0
P33,control,-5,4091.0074123962136,665.0629999999994,20.0,1.8780243910059653,0,0
P33,control,-4,8080.992587603786,778.4169999999993,34.0,3.8980213890606863,1,0
P33,control,-3,11875.0,1110.021999999999,46.0,5.655761742,1,0
P33,control,-2,16944.0,1771.535000000002,114.0,8.134761488165543,1,0
P33,control,-1,14305.591166122178,1391.0446090061257,67.0,6.827585051235056,0,0
P33,control,0,13505.753286634448,1486.1493909938747,79.0,6.445073894833699,0,0
P33,control,1,8756.0,819.655,35.0,4.096799359567145,1,1
P33,control,2,10608.428348208146,970.3210000000032,58.0,5.297734202120725,2,1
P33,control,3,7965.0,898.179,37.0,3.920538850671246,1,1
P33,control,4,7282.0,964.7840000000006,35.0,3.499011014073521,0,1
P33,control,5,10024.0,1241.5460000000016,62.0,4.818506093418235,1,1
P33,control,6,15809.66506817931,1268.9669999999996,38.0,7.583584432349529,0,1
P33,control,7,22372.0,1507.3750000000011,70.0,10.897993536034358,1,1
P33,control,8,4479.0,715.6529999999996,17.0,2.065719155022042,0,2
P33,control,9,7925.235944850704,982.341,54.0,3.863134644,2,2
P33,control,10,10237.0,1001.4910000000066,64.0,5.093262626,2,2
P33,control,11,10223.0,961.451,41.0,4.937277971698533,1,2
